PD51606b_lo0049,b_lo0052,b_lo0054,b_lo0056,b_lo0059,b_lo0065,b_lo0072,b_lo0075,b_lo0078,b_lo0079,b_lo0083,b_lo0089,b_lo0091,b_lo0093,b_lo0095,cluster_id,no.of.mutations.assigned
0.000286391565048777,0.000214576486317971,0.000119149044721672,0.0002980409059296,0.000231664665269537,0.000227481754975648,0.000214901555289551,0.000410722896051177,0.531758345957599,0.54989085958113,0.000242150723561465,0.000247264020935856,0.000215216375143037,0.000237172187569356,0.00029633876486895,Cl.1,1125
0.000123607684777543,0.000182701876682008,9.22651633493476e-05,0.000167605533449116,6.56865651276171e-05,0.0001216753049066,0.00016196187460549,0.000297003054827101,0.00013254917912307,0.000330897288858391,0.000265556129338704,0.000204707358766156,0.558168741598459,0.000309393824105117,0.000269277356830689,Cl.2,2677
0.000202289307020384,0.000168347314515514,9.25967500689183e-05,0.000272438240424868,0.000181651281312194,0.000227532533055414,0.000222689569099085,0.000173858880035448,0.000197670806746764,0.000196174801977332,0.000803404320477152,0.607264598395865,0.000504959613951835,0.000348427682285068,0.000136697837959312,Cl.3,1764
0.00022908103276894,0.000499598806580518,0.000168278013432654,0.000438850084572109,0.000521306727164022,0.000254264060500442,0.000333940562565729,0.531483817403664,0.0089850792472534,0.000522811009442959,0.000693931224986546,0.000107861556355563,0.000476606929322886,0.000121008638430626,0.000754109857537389,Cl.4,345
0.000232068938980838,0.000137873615685233,0.00149976201459946,0.000187300989201985,0.428795377807619,0.000278578916799433,0.000250879784078003,0.000155760614766516,0.000195867757660866,0.00020689286442394,0.000113303573343137,0.000121899750754069,0.000243996190522543,0.000368030053589419,0.000188680439846934,Cl.5,2670
0.000415761151030846,0.00205600814890791,0.321794522183115,0.000549776508302325,0.00341001543243854,0.000297720369798427,9.16571387715636e-05,0.00207985967817896,0.000403903237609414,0.000409573463758422,9.94831596192625e-05,0.000262274824424124,0.000359273621141278,0.00102551028780991,0.00549367755675569,Cl.6,284
9.72923113107781e-05,0.000331760129386774,0.000530139167190512,8.57637358231093e-05,0.000545855573867843,0.000195536745648612,0.000301486362246647,0.000561907631416822,0.000237755316708296,0.000226645983524722,0.000247855928255484,0.00015110559441561,0.000227572297860259,0.356662157897809,0.000470854047566575,Cl.7,344
0.000242295045057323,0.00022969423331276,0.000638674855773545,0.000228889104857451,9.42234387116208e-05,0.000316211516477049,0.625602294941952,0.000443065916318719,0.000864140374913918,0.000545267583825462,0.000216984327742431,0.000227310268232645,0.000354413399508866,0.000361114341924797,0.000225307879402509,Cl.8,1212
0.00022986552596442,9.55903250180814e-05,0.000252254236404151,0.000157965471198802,0.000267794297781657,8.89276905333673e-05,0.00010333976316723,8.41856483198733e-05,8.90875820529124e-05,0.000171541146107419,0.218009416670114,0.000378123135461473,9.81138981857565e-05,0.000383778192408343,0.000290042016987965,Cl.9,427
0.000118287432410429,0.66679902406709,0.437595157325903,0.000180396876325729,0.00018973616937748,5.73537730318457e-05,0.000192930730236017,0.000146883679858647,0.000194646471726168,0.000267004423160938,0.000157394029463762,0.000157481401036274,0.000211826370466022,0.000200927088112924,0.603820349289255,Cl.10,3505
0.000181164422347693,0.000193002119796236,0.000174110464615328,0.000169502612658784,9.92470911850707e-05,0.499095588708196,0.000153879974757571,0.000301318425886431,0.000176296722295015,0.000166518069970541,0.000281172326586437,0.000205236902673231,0.00017547693168868,0.000364061388418237,0.000103802410482232,Cl.13,3455
0.555096142404952,0.000202134162698671,0.000160452495249161,0.000102811948664854,0.000176252381968455,8.81047847525388e-05,0.000187576644798246,0.000203634103667001,0.000236965385632571,0.000221179826088293,0.00027598095835705,0.000240006465558204,0.000304448692774158,0.000278803913471378,0.000325189764270304,Cl.14,3891
7.60315701636074e-05,0.000111448420891479,0.000179391252254598,0.000125431039182972,4.56105528565723e-05,0.000249114425434733,9.70492878614151e-05,0.000116333302000957,0.000137034756392167,0.000183990657145096,6.69918577396849e-05,0.29864127247452,0.000227441703859473,0.000177487686846455,0.000253530953914413,Cl.15,2736
8.02010442597365e-05,7.88494810910753e-05,0.000402174645677549,0.290442257311011,0.00046857786806551,9.45996849577097e-05,9.2235766075911e-05,0.000113323954305732,0.000182083787336366,0.000263474851736761,0.000181244469131076,8.96679317928965e-05,0.00022851251197545,0.000269262214187256,0.000233871601404016,Cl.16,1071
0.000109981964996515,0.000110197693094085,0.000163871188931053,9.49662175440372e-05,0.000130416319898467,0.000173708609604052,0.293091317266748,0.000117208620809746,0.000103995051597031,0.000105838140736824,0.000142001569508571,0.000221985145275863,0.000149834664857747,0.000116516614649543,0.000138212531436247,Cl.17,4733
0.000133927187089277,0.000293947669939541,0.000257843893597827,0.000188423822219896,5.30527570178859e-05,0.00011678251031377,0.00021438508404473,0.000165413735591934,0.510484874031419,0.0745598875652611,0.000211637590110627,0.000369772807123788,0.000347029046020599,0.000290169297255899,0.000271219872686737,Cl.18,1232
0.00016564443317542,0.000225102157832844,0.000305917009866259,0.000128343642233293,0.000147814518437103,0.000113531894834962,0.000255866893424535,0.000273716168169611,0.000244426930580666,0.391750889709462,0.000185098859811966,0.000392678068902129,0.000143911836290598,0.000163779835945491,0.000189811609705304,Cl.21,2234
0.000793276642689306,0.249481279051049,0.0210607512452279,0.000945180783422121,0.00033283196898924,0.00109201061146434,0.00018054366642135,0.000185122452317222,0.000385009405313425,0.0004497031565416,0.000831916575414121,0.00022791770777494,0.000683527705212398,0.00101236122754533,0.227606853531557,Cl.24,173
